"","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","Dispersal_mode","Dispersal_dist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Flowerlength","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Pollensize","Pollenovuleratio","Numberofstructuralcarpels","Fusionofovaries","Fruitlength","Fruitwidth","Lengthofgynoecium","flowerSize","seed_mass"
"Podophyllum peltatum","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",NA,0.45,15,43.3,38,NA,1,NA,NA,NA,NA,5,NA
"Poeppigia procera","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","superior","pollen","actinomorphic",NA,NA,NA,10,8,NA,NA,1,NA,NA,NA,NA,NA,NA
"Polycarpon tetraphyllum","herbaceous","non-climbing","non-aquatic","monomorphic","short",NA,"biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",NA,0.225,2.75,NA,17.5,NA,NA,NA,NA,NA,NA,NA,0.07
"Polygala lewtonii","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","short","bisexual","superior","nectar","zygomorphic","bright",NA,NA,8,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"Populus alba","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","abiotic","long","unisexual","superior","none","actinomorphic","dull",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32
"Portulaca oleracea","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","long","bisexual","intermediate",NA,"actinomorphic","bright",0.75,0.3,9.5,60,57.5,NA,4.5,1,NA,NA,NA,0.75,0.14
"Posidonia australis","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","abiotic","abiotic","long","bisexual","superior","none",NA,"dull",NA,0.3,3,1,528,980000,1,NA,NA,NA,NA,NA,NA
"Posoqueria latifolia","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","zygomorphic","bright",NA,14,5,NA,75.5,NA,2,1,NA,5.5,NA,NA,26.63
"Potamogeton berchtoldii","herbaceous","non-climbing","aquatic","monomorphic","long_short",NA,"abiotic","abiotic","long","unisexual",NA,"none",NA,"dull",NA,NA,4,1,NA,NA,4,0,0.24,0.165,NA,NA,1.11
"Primula sieboldii","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",NA,0.185,5,NA,NA,NA,5,1,NA,NA,NA,NA,0.24
"Prionotes cerinthoides","herbaceous","climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior","nectar","actinomorphic","bright",2.225,NA,5,NA,NA,NA,5,1,NA,NA,NA,2.225,NA
"Prunus persica","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",NA,7,46,2,38,NA,1,NA,6,NA,NA,NA,2792.31
"Putranjiva roxburghii","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic",NA,NA,"unisexual","superior","none","actinomorphic","bright_dull",NA,NA,3.16666666666667,2,NA,NA,3,1,NA,NA,NA,0.625,568.18
"Qualea grandiflora","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior",NA,"zygomorphic","bright",2,12,1,56,NA,NA,3,1,NA,NA,NA,2,NA
"Quercus rubra","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","unisexual","inferior","none","actinomorphic","dull",NA,30,6,2,NA,NA,3,NA,NA,NA,NA,NA,3143.26
"Quinchamalium chilense","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","inferior","nectar","actinomorphic","bright",1.2025,0.2125,5,1,22.275,NA,1,NA,0.2,NA,0.9,1.2025,2.63
"Quintinia hyehenensis","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","inferior",NA,NA,"bright",NA,6.25,5,NA,NA,NA,4.5,NA,NA,NA,NA,0.5,NA
"Rafflesia keithii",NA,NA,NA,"dimorphic","long","outcrossing","biotic","biotic","long_short","unisexual","inferior",NA,"actinomorphic","bright_dull",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,80,NA
"Ranunculus acris","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",NA,0.575,60,1,17.5,NA,20,0,0.3,NA,NA,2.15,1.72
"Ravenala madagascariensis","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior","nectar_pollen","zygomorphic","bright",19,13.5,6,12.5,NA,NA,3,1,NA,NA,NA,19,243.52
"Reseda lutea","herbaceous","non-climbing","non-aquatic","dimorphic","long_short","outcrossing","biotic","biotic","long","bisexual","superior",NA,"zygomorphic","bright_dull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76
"Rhexia virginica","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual",NA,NA,"actinomorphic","bright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
"Rhizophora stylosa","woody","non-climbing","non-aquatic","monomorphic","long","mixed","abiotic","abiotic","long","bisexual","inferior","none","actinomorphic","bright_dull",NA,13.5,8,2,NA,NA,2,1,NA,NA,NA,NA,32835
"Ribes aureum","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","inferior","nectar","actinomorphic","bright",1.6,2,5,NA,38,NA,2,NA,NA,NA,NA,1.6,1.67
"Roridula dentata","woody","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous_biotic","autonomous","short","bisexual","superior","none","actinomorphic","bright_dull",1.5,2,5,1,NA,NA,3,1,0.5,NA,NA,2.5,NA
"Roridula gorgonias","herbaceous_woody","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous_biotic","autonomous","short","bisexual","intermediate","none","actinomorphic","bright_dull",1.5,1,5,3,75.5,NA,3,1,0.5,NA,NA,2.5,1.14
"Roupala montana","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.775,6,4,2,NA,NA,1,NA,NA,NA,NA,0.775,47
"Rourea induta","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,NA,NA,NA,NA,4,10,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
"Ruellia ciliatiflora","herbaceous_woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"bisexual",NA,NA,"zygomorphic","bright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99
"Ruta graveolens","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",NA,1,9,4,25.5,304,4,1,0.75,NA,NA,NA,2.03
"Sagina procumbens","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous_biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","dull",NA,0.2,4,NA,NA,NA,4,NA,0.275,NA,NA,0.2,0.02
"Sagittaria latifolia","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic","bright",NA,NA,30,NA,NA,NA,6,NA,NA,NA,NA,4,0.56
"Salpiglossis sinuata","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing","autonomous_biotic","autonomous","short","bisexual","superior",NA,"zygomorphic","bright",4.075,1,4,NA,67.5,NA,2,1,NA,NA,0.335,5.5,0.1
